"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0hv6ku4431kPrjbpBBspw3","Animals - Original Mix","spotify:artist:60d24wfXkVzDSfLS6hyCjZ","Martin Garrix","spotify:album:0N5QcojgdA6aP9oQ7yYG9A","Animals","spotify:artist:60d24wfXkVzDSfLS6hyCjZ","Martin Garrix","2013-07-01","https://i.scdn.co/image/ab67616d0000b2738993223ca7b07fb866c1e605","1","1","304228","https://p.scdn.co/mp3-preview/f85df06e04351e06fea487dc19d2b45954c9919f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLZ541300467","spotify:user:pivimkh","2015-02-23T21:27:01Z"
"spotify:track:4VvLVp8NlhVncPKc7zFOdc","XIING - Extended Mix","spotify:artist:1YuNQvsvOsMBm0ahbxB8qM","Orjan Nilsen","spotify:album:5aNG6RbvfOl6QrWghJGrYS","XIING","spotify:artist:1YuNQvsvOsMBm0ahbxB8qM","Orjan Nilsen","2013-07-22","https://i.scdn.co/image/ab67616d0000b2731dfb68697eb9518fadaac82a","1","1","369760","https://p.scdn.co/mp3-preview/ca0d1b14fef7b2e6d62fc53a2fbb8dbc1d0145df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","NLF711307228","spotify:user:pivimkh","2015-02-23T21:27:01Z"
"spotify:track:6GAp8kyxBdSF6BYbgByAhh","Again And Again - Radio Edit","spotify:artist:2BJTwV4IpFe2gWL46KKlji","Basto","spotify:album:1y0smpOM2fmgsNL9l5dQCd","Again And Again","spotify:artist:2BJTwV4IpFe2gWL46KKlji","Basto","2011-12-12","https://i.scdn.co/image/ab67616d0000b2739bfad6ce6e7a7852c5e624bf","1","1","182400","https://p.scdn.co/mp3-preview/e9f8b4a11c210d83114d578452dc7bb0ab5d900f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLC281112114","spotify:user:pivimkh","2015-02-23T21:27:01Z"
"spotify:track:4F5btdNznmyGZCNoBvQtG9","I Rave You - Original Mix","spotify:artist:2BJTwV4IpFe2gWL46KKlji","Basto","spotify:album:4eZgByWplFvc3v72ZGgW2Z","I Rave You","spotify:artist:2BJTwV4IpFe2gWL46KKlji","Basto","2012-05-28","https://i.scdn.co/image/ab67616d0000b273e80962f1ca3c18f26eabd5b3","1","1","325050","https://p.scdn.co/mp3-preview/1def8307c0d971668c1fbd43d9347c40847c6bf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLC281210304","spotify:user:pivimkh","2015-02-23T21:27:01Z"
"spotify:track:5kByGk37U0KBwiZFqH4mER","As We Collide - Orjan Nilsen Remix","spotify:artist:1hu8RDN5gKsi2YYvWTOAqY, spotify:artist:5MO2kbaGGA2a8kL4c9qqHq, spotify:artist:6UAyCjS0OPMd1Ham8bvs9g, spotify:artist:1YuNQvsvOsMBm0ahbxB8qM","Christian Burns, Paul Oakenfold, JES, Orjan Nilsen","spotify:album:6n6IyS3f1D1YftGdwPBivA","A State Of Trance Radio Top 20 - February / March 2013 (Including Classic Bonus Track)","spotify:artist:31bMohvOeH5gTgKZe9HYWD","Armin van Buuren ASOT Radio Top 20","2013-03-15","https://i.scdn.co/image/ab67616d0000b273d97f5d5ad1e5b973ba93e661","1","6","410600","https://p.scdn.co/mp3-preview/c2f008c383998ea43aedf5289ed1ca0fb4934153?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLF711300576","spotify:user:pivimkh","2015-02-23T21:27:01Z"
"spotify:track:3V9KPrwPs4yQb2izDut35i","Kinky Denise - Original Mix","spotify:artist:1V3VTM7VspiQjcmRhC010n, spotify:artist:1vo8zHmO1KzkuU9Xxh6J7W","Quintino, MOTi","spotify:album:7qbVOtxUUWqKRzWcnj5kwh","Underground London","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2013-02-11","https://i.scdn.co/image/ab67616d0000b2733707f659778324e6a5850c86","1","11","227000","https://p.scdn.co/mp3-preview/0878498dd768802f2cc6bc6c592b71635e59a9c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLC281211737","spotify:user:pivimkh","2015-02-23T21:27:01Z"
"spotify:track:0ibKuraW65ZP83S32JG7kP","Doing It Right - Original Mix","spotify:artist:4D75GcNG95ebPtNvoNVXhz","AFROJACK","spotify:album:7jDJ3mGjjPB9b91vM1sQBI","Dusk Till Doorn 2011 (Mixed by Sander van Doorn)","spotify:artist:22bukBZvUppuwQwmDz75Gz","Sander van Doorn","2011-06-27","https://i.scdn.co/image/ab67616d0000b2738e5be707ca6d39f65f83ef3f","1","4","495245","https://p.scdn.co/mp3-preview/08fff2e0200c2b6bcc376fc3c96bd3dc853d7f7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLC281110283","spotify:user:pivimkh","2015-02-23T21:27:01Z"
"spotify:track:4mpEtOSTzGOXkbIV0e64oU","Dynamite - Nicky Romero Remix","spotify:artist:2yWER4vAftcZCFPc7ednct, spotify:artist:3XonXgjEAAXVl0WKLF1Z4g","Tara Mcdonald, Sidney Samson","spotify:album:7qbVOtxUUWqKRzWcnj5kwh","Underground London","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2013-02-11","https://i.scdn.co/image/ab67616d0000b2733707f659778324e6a5850c86","1","15","341269","https://p.scdn.co/mp3-preview/8846b20468d0481ec72c57798f194b4a6aadb77c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLC281111763","spotify:user:pivimkh","2015-02-23T21:27:01Z"
"spotify:track:72r7ENvp2LMAxO45B09B42","Symphonica - Radio Edit","spotify:artist:5ChF3i92IPZHduM7jN3dpg","Nicky Romero","spotify:album:2UctFrK6misgjelNvEVKjn","Symphonica","spotify:artist:5ChF3i92IPZHduM7jN3dpg","Nicky Romero","2013-06-03","https://i.scdn.co/image/ab67616d0000b2736e0ca36df26f0e6703fdb9c0","1","1","180000","https://p.scdn.co/mp3-preview/78ca943dbdfa4a704b11d5c56adfb2b40e76450f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","NLUW21300039","spotify:user:pivimkh","2015-02-23T21:27:01Z"
"spotify:track:3IMHVvQAIW1HBBFg7sweun","Like Home","spotify:artist:5ChF3i92IPZHduM7jN3dpg, spotify:artist:4j5KBTO4tk7up54ZirNGvK","Nicky Romero, NERVO","spotify:album:67DyodvVjMa5KNFJaek0hH","Like Home","spotify:artist:5ChF3i92IPZHduM7jN3dpg, spotify:artist:4j5KBTO4tk7up54ZirNGvK","Nicky Romero, NERVO","2013-02-04","https://i.scdn.co/image/ab67616d0000b273cc1c56f0f53fe58e68b501ff","1","2","331880","https://p.scdn.co/mp3-preview/39a9581c5a26470c5a7f326014b112210b5d6002?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","NLUW21200012","spotify:user:pivimkh","2015-02-23T21:27:01Z"
