"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5rb9QrpfcKFHM1EUbSIurX","Yeah! (feat. Lil Jon & Ludacris)","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","USHER, Lil Jon, Ludacris","spotify:album:1RM6MGv6bcl6NrAG8PGoZk","Confessions (Expanded Edition)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","USHER","2004-03-23","https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da","1","2","250373","https://p.scdn.co/mp3-preview/1eca1cb525c2b0df2ecba52f1105f139323e09a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USAR10301423","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T20:19:52Z"
"spotify:track:3oDFtOhcN08qeDPAK6MEQG","Boom Boom Pow","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:1dgbFU08pXJXZhGPlybdMX","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2009-01-01","https://i.scdn.co/image/ab67616d0000b2730bd44f5ff9ecc99f7770acc5","1","1","251440","https://p.scdn.co/mp3-preview/cf823925e9e910dabd1121790a42f9922b7158f4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUM70955624","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T20:24:56Z"
"spotify:track:4DMPn1rEujpIJIvjy9HKV8","Scream & Shout","spotify:artist:085pc2PYOi8bGKj0PNjekA, spotify:artist:26dSoYclwsYLMAKD3tpOr4","will.i.am, Britney Spears","spotify:album:6H7mXPXFFDOpby7Xcke1vh","#willpower (Deluxe)","spotify:artist:085pc2PYOi8bGKj0PNjekA","will.i.am","2013-01-01","https://i.scdn.co/image/ab67616d0000b2737cd0e09e531fbca549d76cbf","1","4","283400","https://p.scdn.co/mp3-preview/00b53e02ef664048f1d36459cba3c50d239ceab9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71215597","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T20:29:23Z"
"spotify:track:46qtEi9qJOXxmY0qel1wpN","Crank That (Soulja Boy)","spotify:artist:6GMYJwaziB4ekv1Y6wCDWS","Soulja Boy","spotify:album:49tXmS631KKId7U6Pu2tg8","souljaboytellem.com","spotify:artist:6GMYJwaziB4ekv1Y6wCDWS","Soulja Boy","2007-01-01","https://i.scdn.co/image/ab67616d0000b2738f330ffba4259cde9f3a3ad9","1","2","221933","https://p.scdn.co/mp3-preview/2c6a343f2b06b44074304846c47be0b2bb9178f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM70742048","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T20:34:59Z"
"spotify:track:26rdOwwjC2UnweK3xeS58u","GDFR (feat. Sage the Gemini & Lookas)","spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:6d47Z08T4snK50HgTEHo5Z, spotify:artist:27fy6rHPC58Eo2VUu0iJSG","Flo Rida, Sage The Gemini, Lookas","spotify:album:5lkNnHVlnCCCV304t89wOH","My House","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2015-04-07","https://i.scdn.co/image/ab67616d0000b2737947bf3e8af32378de181b41","1","6","190185","https://p.scdn.co/mp3-preview/6316ccb80845938fad240c7e9d560b997c742544?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USAT21404117","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T20:40:52Z"
"spotify:track:0ltBH1JNzSvQJPjJpvTu9B","Whistle","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","spotify:album:355RqMyXhDoOD0l4qMUxeT","Whistle","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2012-04-24","https://i.scdn.co/image/ab67616d0000b2738fff33d4cece7b62bda3a2a5","1","1","225000","https://p.scdn.co/mp3-preview/a2ecc2fcde027539cfaf5ec2dc734ab0c0d76edd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USAT21201745","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T21:28:44Z"
"spotify:track:3GpbwCm3YxiWDvy29Uo3vP","Right Round","spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:6LqNN22kT3074XbTVUrhzX","Flo Rida, Kesha","spotify:album:2vBLKFrI1rZqB7VtGxcsR5","R.O.O.T.S. (Route of Overcoming the Struggle)","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2009-03-23","https://i.scdn.co/image/ab67616d0000b27318aa5d7e6d484b832cd5d03f","1","5","204640","https://p.scdn.co/mp3-preview/04b3f3daf9f2e977daef0d8cceb58d74aa58759d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USAT20900156","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T21:30:35Z"
"spotify:track:70cTMpcgWMcR18t9MRJFjB","I Gotta Feeling","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:5lNzygOpCmzRx4N301icBB","THE E.N.D. (THE ENERGY NEVER DIES) [International Version]","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2009-01-01","https://i.scdn.co/image/ab67616d0000b27349ed7a0ea23c40c730f6bb37","1","5","289133","https://p.scdn.co/mp3-preview/b3398fc473e546c85e965482e7b908342c46b7b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM70965169","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T21:34:59Z"
"spotify:track:0CAfXk7DXMnon4gLudAp7J","Low (feat. T-Pain)","spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:3aQeKQSyrW4qWr35idm0cy","Flo Rida, T-Pain","spotify:album:5j1wrOAOm5KFd17pPiSvle","Mail on Sunday","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2008-03-17","https://i.scdn.co/image/ab67616d0000b273f9bd7a6c772ac496015be3f8","1","5","231400","https://p.scdn.co/mp3-preview/328d15426dd8b5e128341b72d0826ff0b32d1eb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USAT20705841","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T21:43:11Z"
"spotify:track:6tXjP6xgPJ7Xr1igrO6bOE","Don't Stop The Music","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:1G2ZRwcqN6warfakvcPgEs","Good Girl Gone Bad: Reloaded","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2008-06-02","https://i.scdn.co/image/ab67616d0000b273ad4ef80be7f5e15d64ac5c25","1","3","267080","https://p.scdn.co/mp3-preview/2ac14b43fe2451a70c07357ac675ade8da1f776c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM70734700","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T21:48:48Z"
"spotify:track:0LVghzBGRulc2TX9HFLYBl","Kiss Me Thru The Phone","spotify:artist:6GMYJwaziB4ekv1Y6wCDWS, spotify:artist:4p07QU02SrLsaORo25h2Lg","Soulja Boy, Sammie","spotify:album:0QvBnezKARnv2SzgW5Le1t","iSouljaBoyTellem","spotify:artist:6GMYJwaziB4ekv1Y6wCDWS","Soulja Boy","2008-01-01","https://i.scdn.co/image/ab67616d0000b2732ce32f0eb5168aa10fe39c26","1","6","193386","https://p.scdn.co/mp3-preview/d34545f442d5a3861c61afd164d7927b00c06531?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM70848200","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T21:55:53Z"
"spotify:track:4TZZvblv2yzLIBk2JwJ6Un","Party In The U.S.A.","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:7JvAIXx1Q3HrZMrIyGPyN0","Party In The U.S.A.","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2009-01-01","https://i.scdn.co/image/ab67616d0000b2738cd7c5c3b718dafcd8a03059","1","1","202760","https://p.scdn.co/mp3-preview/b2ba87ea556f5c9f44c947b176ccec21da3e612f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USHR10924519","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T22:00:12Z"
"spotify:track:2ZBNclC5wm4GtiWaeh0DMx","Single Ladies (Put a Ring on It)","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:23Y5wdyP5byMFktZf8AcWU","I AM...SASHA FIERCE","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2008-11-14","https://i.scdn.co/image/ab67616d0000b273e13de7b8662b085b0885ffef","2","1","193213","https://p.scdn.co/mp3-preview/c2ded1a34c261f0a980ffa0f65bbb5f3dde28c24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSM10803760","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T22:06:40Z"
"spotify:track:5hlWtrnVUyAze5WkxF9P56","Rude Boy","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:0lpi9UvopEQr9sVpFVv52w","Rated R","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2009-11-20","https://i.scdn.co/image/ab67616d0000b273b6f5afe63c28be5287e5f232","1","8","222920","https://p.scdn.co/mp3-preview/f8efdc86bcd76cbfe6ab687ce0d8f3d6d911abe8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM70912459","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T22:11:16Z"
"spotify:track:3P8zSSoklAkP84OjpJ6HHC","OMG","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:085pc2PYOi8bGKj0PNjekA","USHER, will.i.am","spotify:album:4ZfbmiOn4nYTFYl8Cw7yml","Raymond v Raymond","spotify:artist:23zg3TcAtWQy7J6upgbUnj","USHER","2010-03-29","https://i.scdn.co/image/ab67616d0000b2733941da9a12c5b43828af9e92","1","6","269493","https://p.scdn.co/mp3-preview/8f6be8d3bdadf51fe002ebffe58107e28ae12314?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USLF20900103","spotify:user:juz92dyse0gt0rly31x02oq37","2018-03-10T22:14:50Z"
