"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3CGgaU8aaE4O2Qpezkhuvj","Dangerous","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:7jrxBbSIpwZnOd7kuAYFHG","I See You (Deluxe)","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2017-06-23","https://i.scdn.co/image/ab67616d0000b273cc35ac879d5f419165166f76","1","1","250000","https://p.scdn.co/mp3-preview/4e18bd6c087c7ddff7d0a06c391c2b75dcbebcb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UK7MC1600067","spotify:user:11135692880","2020-08-14T11:24:28Z"
"spotify:track:0bXpmJyHHYPk6QBFj25bYF","Intro","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:2nXJkqkS1tIKIyhBcFMmwz","xx","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2009-08-16","https://i.scdn.co/image/ab67616d0000b273055437bf35e8ba027bed0882","1","1","127920","https://p.scdn.co/mp3-preview/f720524ac3d0fdae06db3f3c6384f70e3b791114?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","GBBKS0900196","spotify:user:11135692880","2020-08-14T11:24:44Z"
"spotify:track:6DXFVsLcEvOTSrkG9G1Cb1","VCR","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:2nXJkqkS1tIKIyhBcFMmwz","xx","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2009-08-16","https://i.scdn.co/image/ab67616d0000b273055437bf35e8ba027bed0882","1","2","177093","https://p.scdn.co/mp3-preview/ac1b234be2011f8bc5949a8aced12210c18455d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBKS0900197","spotify:user:11135692880","2020-08-14T11:24:44Z"
"spotify:track:6rxEjkoar48SssZePbtb2x","Crystalised","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:2nXJkqkS1tIKIyhBcFMmwz","xx","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2009-08-16","https://i.scdn.co/image/ab67616d0000b273055437bf35e8ba027bed0882","1","3","201946","https://p.scdn.co/mp3-preview/93a08ec3393ceaeddd12342158095bbc852b133b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBKS0900025","spotify:user:11135692880","2020-08-14T11:24:44Z"
"spotify:track:2SMn57cBVxoD4TArscpovk","Islands","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:2nXJkqkS1tIKIyhBcFMmwz","xx","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2009-08-16","https://i.scdn.co/image/ab67616d0000b273055437bf35e8ba027bed0882","1","4","160720","https://p.scdn.co/mp3-preview/4befa2b430af793e656fb94740ab4ae004db42b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBKS0900198","spotify:user:11135692880","2020-08-14T11:24:44Z"
"spotify:track:5HkUwvLeE5Lhd2FZjuXncU","Heart Skipped a Beat","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:2nXJkqkS1tIKIyhBcFMmwz","xx","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2009-08-16","https://i.scdn.co/image/ab67616d0000b273055437bf35e8ba027bed0882","1","5","242266","https://p.scdn.co/mp3-preview/3ba2eebd12f597aeb480ffcf9cdd3229732f6aec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBKS0900199","spotify:user:11135692880","2020-08-14T11:24:49Z"
"spotify:track:16NE62lzGmi6ehGTNVI659","Basic Space","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","spotify:album:2nXJkqkS1tIKIyhBcFMmwz","xx","spotify:artist:3iOvXCl6edW5Um0fXEBRXy","The xx","2009-08-16","https://i.scdn.co/image/ab67616d0000b273055437bf35e8ba027bed0882","1","8","188120","https://p.scdn.co/mp3-preview/27a54762393470ebe908948b735f4e6b4f40e1c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBKS0900202","spotify:user:11135692880","2020-08-14T11:25:27Z"
"spotify:track:1E1uGhNdBe6Dddbgs2KqtZ","Jumpsuit","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:621cXqrTSSJi1WqDMSLmbL","Trench","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2018-10-05","https://i.scdn.co/image/ab67616d0000b273d1d301e737da4324479c6660","1","1","238560","https://p.scdn.co/mp3-preview/c8d121d39409151df43660ce5c6d4ef1aaaef160?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USAT21804142","spotify:user:11135692880","2020-08-14T13:05:35Z"
"spotify:track:01vv2AjxgP4uUyb8waYO5Y","Morph","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:621cXqrTSSJi1WqDMSLmbL","Trench","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2018-10-05","https://i.scdn.co/image/ab67616d0000b273d1d301e737da4324479c6660","1","3","258853","https://p.scdn.co/mp3-preview/23d6eabe302f9a98770b15b1d455970c1efd6ba3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USAT21810685","spotify:user:11135692880","2020-08-14T13:05:35Z"
"spotify:track:5HeKOKc4phmLn8e4I7EkzD","My Blood","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:621cXqrTSSJi1WqDMSLmbL","Trench","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2018-10-05","https://i.scdn.co/image/ab67616d0000b273d1d301e737da4324479c6660","1","4","229120","https://p.scdn.co/mp3-preview/597780deb0adcecc51ba3227e38b5071c452d13c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAT21810686","spotify:user:11135692880","2020-08-14T13:05:35Z"
