"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0GQKP2WgHvBA8Nzb4xZu36","6 God","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","7","180666","https://p.scdn.co/mp3-preview/30f721ff8f457bf651a57d15607d8cc096e4a8a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500021","spotify:user:11135692880","2019-12-06T20:53:42Z"
"spotify:track:358uP4VwX0XYKji2IW19zi","Moves","spotify:artist:0c173mlxpT3dSFRgMO8XPh","Big Sean","spotify:album:40cDsJwMgOO5yFI7XQKm8U","I Decided.","spotify:artist:0c173mlxpT3dSFRgMO8XPh","Big Sean","2017-02-03","https://i.scdn.co/image/ab67616d0000b273230b1297922d593cfe6c1908","1","6","142906","https://p.scdn.co/mp3-preview/6e4420963f64628908da739606158658b27b136a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71615597","spotify:user:11135692880","2019-12-06T20:53:42Z"
"spotify:track:2xpoTj7AeSFVuvD0ibD3Pg","No Tellin'","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","5","310933","https://p.scdn.co/mp3-preview/24e219b9f3a54f6a6a15cc477c3697b6d04a338a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500017","spotify:user:11135692880","2019-12-06T20:53:42Z"
"spotify:track:31LIXek4OCRgKJn4RWg5Yb","Used To","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:55Aa2cqylxrFIXC767Z865","Drake, Lil Wayne","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","11","268480","https://p.scdn.co/mp3-preview/0a3a5b82490ad901c6fffce3742ac9eaa4b67249?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500027","spotify:user:11135692880","2019-12-06T20:53:42Z"
"spotify:track:48S3Pfu533qMMgHXmV1ruh","6 Man","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","12","167653","https://p.scdn.co/mp3-preview/a96ceaf1b52ce1e61f872445fdbfec9d26d9dd0b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500029","spotify:user:11135692880","2019-12-06T20:53:42Z"
"spotify:track:4SPvY70yEAZJOqs7RIIar4","Flexicution","spotify:artist:4xRYI6VqpkE3UwrDrAZL8L","Logic","spotify:album:0k72joLHwqIb4jHtfF9rEm","Flexicution","spotify:artist:4xRYI6VqpkE3UwrDrAZL8L","Logic","2016-06-14","https://i.scdn.co/image/ab67616d0000b2730a464db27ea448eafbdf2da0","1","1","219066","https://p.scdn.co/mp3-preview/30da1ed771e5678611359ac79f8ff8539be72868?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71604619","spotify:user:11135692880","2019-12-06T20:55:48Z"
"spotify:track:27GmP9AWRs744SzKcpJsTZ","Jumpman","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Drake, Future","spotify:album:1ozpmkWcCHwsQ4QTnxOOdT","What A Time To Be Alive","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Drake, Future","2015-09-20","https://i.scdn.co/image/ab67616d0000b273d6adfbd3f091d6f2b9af6507","1","9","205879","https://p.scdn.co/mp3-preview/7e96c1e06866ccef196f4de86e77fee72f1f0a0d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USCM51500300","spotify:user:11135692880","2019-12-06T20:55:48Z"
"spotify:track:04MLEeAMuV9IlHEsD8vF6A","No Stylist (feat. Drake)","spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:3TVXtAsR1Inumwj472S9r4","French Montana, Drake","spotify:album:0DMvfJWc1DjSbmnJF1NW1o","No Stylist","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2018-09-20","https://i.scdn.co/image/ab67616d0000b273816673ed1db2aa75cfa91843","1","1","192172","https://p.scdn.co/mp3-preview/2be6fa4b6e69fd0f484dcc5df01da4b528cd5116?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USSM11807535","spotify:user:11135692880","2019-12-06T20:55:48Z"
"spotify:track:4CsVMXmvFP4jYoZBDSpN6k","Man Listen","spotify:artist:0FOWNUFHPnMy0vOw1siGqi","Belly","spotify:album:1PwT5kgsgn5JU3lsenASuI","Man Listen","spotify:artist:0FOWNUFHPnMy0vOw1siGqi","Belly","2017-08-25","https://i.scdn.co/image/ab67616d0000b27368df5d4f692270cb253b4a7a","1","1","183920","https://p.scdn.co/mp3-preview/6d66ef2bda95ebf6f2b95012870febf9c5e32c83?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QMJMT1701389","spotify:user:11135692880","2019-12-06T20:55:48Z"
"spotify:track:79XrkTOfV1AqySNjVlygpW","Energy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:0ptlfJfwGTy0Yvrk14JK1I","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733","1","2","181933","https://p.scdn.co/mp3-preview/0d3414f734e3bb1f205dd5948b4c79cbe5d04a6c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USCM51500012","spotify:user:11135692880","2019-12-06T20:55:48Z"
