"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:29cDz9LLpr0qOur3ZkhNsg","Vamos a bailar (Esta vida nueva) - Festivalbar Cut","spotify:artist:6sXWE3eSY59H6zy1tiRPue","Paola & Chiara","spotify:album:7hWTCPQdbBHLSthL1nQ3Ti","Television","spotify:artist:6sXWE3eSY59H6zy1tiRPue","Paola & Chiara","2000","https://i.scdn.co/image/ab67616d0000b273744166904bf26916fd0bb06b","1","1","245373","https://p.scdn.co/mp3-preview/3a943764acbb584f5efb2180fc1a54f85d1698d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITM000102302","spotify:user:3x2bnlzrvcy3h6c9fsgk5pr7p","2024-02-14T10:29:13Z"
"spotify:track:1jdotZBW7ybF2wf6896occ","Sola Una Volta","spotify:artist:2cNC9hjjdsMKLv0m2m9p1D","Alex Britti","spotify:album:5HCZg475b1R5XJvgmiAN7t","it.pop","spotify:artist:2cNC9hjjdsMKLv0m2m9p1D","Alex Britti","1998-01-01","https://i.scdn.co/image/ab67616d0000b2731a06e328323753a167071f25","1","3","241946","https://p.scdn.co/mp3-preview/176749f3d8f6ab6c60556fcc958332df511f0fd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ITH009800028","spotify:user:3x2bnlzrvcy3h6c9fsgk5pr7p","2024-02-14T10:26:54Z"
"spotify:track:6klf1x9aMoBHcPY2UsSI5m","Stereo Love - Radio Edit","spotify:artist:6XwwFnewNgWp81MYMK8zLq, spotify:artist:34dZRjYum6vVBGslgYaBtB","Edward Maya, Vika Jigulina","spotify:album:0L4rte7uItHUjYISkiAgYt","Stereo Love (The Definitive DJ Deluxe Edition)","spotify:artist:6XwwFnewNgWp81MYMK8zLq, spotify:artist:34dZRjYum6vVBGslgYaBtB","Edward Maya, Vika Jigulina","2010-03-02","https://i.scdn.co/image/ab67616d0000b27333c437033b4b2af2333725bc","1","1","186279","https://p.scdn.co/mp3-preview/ea5d31edee9ff55fde7ae55c58d6125e14ac2ea4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ROCMA0901772","spotify:user:3x2bnlzrvcy3h6c9fsgk5pr7p","2024-02-14T10:26:46Z"
"spotify:track:6CfXJBOhCEtEDgLUdrBffK","Mary","spotify:artist:1rmR17cbB34R3cKheHJBDZ","Gemelli Diversi","spotify:album:3FSSPmgj1A9YAOQf9Ahz05","Fuego","spotify:artist:1rmR17cbB34R3cKheHJBDZ","Gemelli Diversi","2002-09-26","https://i.scdn.co/image/ab67616d0000b273544873e72ebd36bcc749d99c","1","4","304813","https://p.scdn.co/mp3-preview/f392dbd56788ba87ac32315aa1e77ad8638c0e79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ITA270200304","spotify:user:3x2bnlzrvcy3h6c9fsgk5pr7p","2024-02-14T10:26:38Z"
"spotify:track:228BxWXUYQPJrJYHDLOHkj","Gasolina","spotify:artist:4VMYDCV2IEDYJArk749S6m","Daddy Yankee","spotify:album:4pLuE50wL9T26lSv42X0J2","Barrio Fino (Bonus Track Version)","spotify:artist:4VMYDCV2IEDYJArk749S6m","Daddy Yankee","2004-07-13","https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c","1","5","192600","https://p.scdn.co/mp3-preview/7c545be6847f3a6b13c4ad9c70d10a34f49a92d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","QM6N21759342","spotify:user:11135692880","2024-02-14T10:29:05Z"
"spotify:track:7C8kVsBSMYqmu190O2lbS5","Il Solito Sesso","spotify:artist:1h5O32I1o0VOnpLmKXLfRa","Max Gazzè","spotify:album:3TooDW7vuri1NxKPEaIl18","Tra L'Aratro E La Radio","spotify:artist:1h5O32I1o0VOnpLmKXLfRa","Max Gazzè","2008-03-07","https://i.scdn.co/image/ab67616d0000b273ecc4b8f1a5cf247b603d412f","1","2","202960","https://p.scdn.co/mp3-preview/1cca1aa033ae00227488498905a1b48c2e8772dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DEBL61073899","spotify:user:leddigno","2024-02-13T17:45:42Z"
"spotify:track:68umMaemHC6wNJlq4sGVie","L'Italia di Piero","spotify:artist:0sqq7uB8agn7oT15sssKRz","Simone Cristicchi","spotify:album:2yG8H5dDpTyb9tcujlNwxw","Dall'altra parte del cancello","spotify:artist:0sqq7uB8agn7oT15sssKRz","Simone Cristicchi","2007-03-02","https://i.scdn.co/image/ab67616d0000b273dd42006de3faaf6343f8593c","1","7","182013","https://p.scdn.co/mp3-preview/eb4ee1a92facf5cf16109cd2c1f96c2ebfa72aa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","ITB000700072","spotify:user:leddigno","2024-02-14T10:08:22Z"
"spotify:track:7vRQsTt9wdNHg2APIgLT0b","Per farti sorridere","spotify:artist:1rmR17cbB34R3cKheHJBDZ","Gemelli Diversi","spotify:album:7oCtUpGZasBoS2638P7zDb","Tutto da capo","spotify:artist:1rmR17cbB34R3cKheHJBDZ","Gemelli Diversi","2012-09-11","https://i.scdn.co/image/ab67616d0000b27382e15e445a085f30a8d97e97","1","2","219786","https://p.scdn.co/mp3-preview/07e1544c6bf4f1f15e2b37eedc723f6300f20ee4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ITB001200370","spotify:user:leddigno","2024-02-15T08:33:39Z"
"spotify:track:0xYkr8xRLT8vbFA1yrSYO1","Rotolando Verso Sud","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","spotify:album:2SxdcaGY1A5ACdRxSgMSTQ","L'Uomo Sogna Di Volare","spotify:artist:0Tuudqq2NACRXkvTQGazY2","Negrita","2005","https://i.scdn.co/image/ab67616d0000b273d4a7425c86d9c7ef902b9924","1","6","285760","https://p.scdn.co/mp3-preview/dcf978b78ef11869431c8c88b469951dd023af40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","IT7000400092","spotify:user:3x2bnlzrvcy3h6c9fsgk5pr7p","2024-02-15T08:50:03Z"
"spotify:track:7H04685eUfvJPu1SQVOKpn","Fare a meno di te","spotify:artist:0V8lCoAW5LzXPQEKouD7P5","Due Di Picche","spotify:album:2o0mh49oqBnBZWKGMS6HWK","Il bello di essere J-AX - 25 anni di successi 1993-2018","spotify:artist:2iK8weavvfS2xJCmzNzNE5","J-AX","2018-05-11","https://i.scdn.co/image/ab67616d0000b2734b71ae1a437000a6d9e1b7f6","2","8","256385","https://p.scdn.co/mp3-preview/0f538164c545889235760fc04f4f9ce30bf37b74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","ITA271000203","spotify:user:leddigno","2024-02-15T08:58:05Z"
