"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:57pG1pzkJy525Gqe2XoPdE","MORE original","spotify:artist:6zs4XHt4KeqaeRMBlvqnHk","Horus Su Maccu","spotify:album:5MmH1UJ0gMEITphS5XWyOU","MORE original","spotify:artist:6zs4XHt4KeqaeRMBlvqnHk","Horus Su Maccu","2023-03-04","https://i.scdn.co/image/ab67616d0000b273053dae73346220fed278c257","1","1","231053","https://p.scdn.co/mp3-preview/23ed486058ad61afc09998e2489ca9884a24e691?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZES62386340","spotify:user:3x2bnlzrvcy3h6c9fsgk5pr7p","2024-06-05T14:51:37Z"
"spotify:track:0xMUgd0qjJ5AjYuyYctU73","Disco Metal","spotify:artist:7jw9vF1hFRp1k8dDRNRiC5","NanowaR of Steel","spotify:album:29UHZ8FbKbrh3MrIIujWFf","Dislike to False Metal","spotify:artist:7jw9vF1hFRp1k8dDRNRiC5","NanowaR of Steel","2023-03-10","https://i.scdn.co/image/ab67616d0000b273237baf78e5224323eb0139f7","1","3","272880","https://p.scdn.co/mp3-preview/bbfef45ed7513eed0cd1784f89e8f8b15ca07e2c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","ATN262317804","spotify:user:73ttrt8qnlg57su28efs27qao","2024-06-05T14:55:27Z"
"spotify:track:5oxTueXY3dV19T4PXcav9D","Il Signore degli Anelli dello Stadio","spotify:artist:7jw9vF1hFRp1k8dDRNRiC5","NanowaR of Steel","spotify:album:5GTjpP5QCeFx3prDmQKWfY","Italian Folk Metal","spotify:artist:7jw9vF1hFRp1k8dDRNRiC5","NanowaR of Steel","2021-07-02","https://i.scdn.co/image/ab67616d0000b2738413e4ac07f269c6a81e82d3","1","9","190800","https://p.scdn.co/mp3-preview/3f3e04ea5b61a56d3eda24b995c56b9a4a610f89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","ATN262103309","spotify:user:73ttrt8qnlg57su28efs27qao","2024-06-05T14:55:59Z"
"spotify:track:0goer5e8B6SJaTV2B51k6f","La bandite","spotify:artist:3IW7ScrzXmPvZhB27hmfgy","Jul","spotify:album:2GLuHlc49dJKY8yzxUZb8p","Rien 100 Rien","spotify:artist:3IW7ScrzXmPvZhB27hmfgy","Jul","2019-06-28","https://i.scdn.co/image/ab67616d0000b2733c505b5ddcbdf80c7dff5a1f","1","1","160893","https://p.scdn.co/mp3-preview/d45ac8833ca5a4b58df3aeaaf4c3ab475d78eded?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","FR0U91900069","spotify:user:3x2bnlzrvcy3h6c9fsgk5pr7p","2024-06-06T14:02:18Z"
"spotify:track:4AHs0xmqFJzclY2TqlDrFM","ESTATE DI MERDA","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","spotify:album:3lZFeccTINne3C3umY7cS3","ESTATE DI MERDA","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","2024-06-07","https://i.scdn.co/image/ab67616d0000b273eb78e100ac9ef747a8777ddd","1","1","204827","https://p.scdn.co/mp3-preview/a189b0dbc38e441fb752c56c3ad7f706721e4546?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","US38Y2412671","spotify:user:3x2bnlzrvcy3h6c9fsgk5pr7p","2024-06-07T09:56:25Z"
"spotify:track:3lqamRh4EILIDACnAbl35t","feelings don't lie","spotify:artist:4AKwRarlmsUlLjIwt38NLw, spotify:artist:3QJUFtGBGL05vo0kCJZsmT","Ofenbach, salem ilese","spotify:album:7Dl3d5p3H4vp1DKkXifeRm","feelings don't lie","spotify:artist:4AKwRarlmsUlLjIwt38NLw, spotify:artist:3QJUFtGBGL05vo0kCJZsmT","Ofenbach, salem ilese","2024-05-24","https://i.scdn.co/image/ab67616d0000b273cb2d2dba25daba49fbf4e482","1","1","150824","https://p.scdn.co/mp3-preview/e1fd894964896b216ccf938840e4e4898d804772?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","FR9W12422341","spotify:user:3x2bnlzrvcy3h6c9fsgk5pr7p","2024-06-09T13:02:24Z"
"spotify:track:1jM7qLKYebmZhnjwl2MpTo","Apparecchiato (feat. Nerissima Serpe)","spotify:artist:0vAALEhfbmllIOX1t7k5KU, spotify:artist:08ppjXEpROUgrG1X0DEquB, spotify:artist:4PYZsCk6AeRr8VjtJ7z1RF","Papa V, Nerissima Serpe, Fritu","spotify:album:73o3cVQvCogUq8jVRJ8DU4","Gesù Bambino","spotify:artist:0vAALEhfbmllIOX1t7k5KU","Papa V","2022-10-07","https://i.scdn.co/image/ab67616d0000b2733ccb5efecbf098482b53107e","1","6","158625","https://p.scdn.co/mp3-preview/8481b4eda47dd2c5432a65ff0312d80a7e0bb32e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","ITUD52200028","spotify:user:11135692880","2024-06-11T12:12:55Z"
"spotify:track:0VMGL7KoAfjN3UnTL6aB5o","Sesto senso","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","spotify:album:1IAGA62BsUpc8TjhBZuDsn","Going Hard 2","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","2021-09-02","https://i.scdn.co/image/ab67616d0000b27323f14c95a49443cb70e79f18","1","6","181176","https://p.scdn.co/mp3-preview/934c21b1dedd5d93a858c7e695d31c99d496c826?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","ITK192100094","spotify:user:11135692880","2024-06-11T12:12:55Z"
"spotify:track:3Ej69N6aHGfSi4ERhwHRO8","Thoiry Remix (feat. Gemitaiz, Quentin40, Puritano) - Samba Trap Vol. 3 - Mitraglia Rec","spotify:artist:0lI3rF4hi4op6UxqlLHPzv, spotify:artist:57aMHpsX2SXTbLatmeEd6j, spotify:artist:4upwdFMlZBmQ68jP9jPzjK, spotify:artist:63iLDTZb43E6k8Ign6voma, spotify:artist:1DRmznzLP5EnFFGo4h1ZyW","Achille Lauro, Boss Doms, Gemitaiz, Quentin40, Puritano","spotify:album:7248m1lfoXH1fmy61NujXg","Pour l'amour","spotify:artist:0lI3rF4hi4op6UxqlLHPzv, spotify:artist:57aMHpsX2SXTbLatmeEd6j","Achille Lauro, Boss Doms","2018-06-22","https://i.scdn.co/image/ab67616d0000b27391bc41430adf7427f28365f1","1","7","174920","https://p.scdn.co/mp3-preview/d1fd20386e19c116100e819b9f23a7e4f76a1500?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ITB551814882","spotify:user:11135692880","2024-06-11T12:13:01Z"
"spotify:track:11HeOLoW2cnWZzGHWnllYq","EL MATADOR (From the Netflix Rap Show “Nuova Scena”)","spotify:artist:7516jrFSCN9rahmTvPAYUu","Elmatadormc7","spotify:album:6UDBnsOcte6GwhTBLZ75kK","EL MATADOR (From the Netflix Rap Show “Nuova Scena”)","spotify:artist:7516jrFSCN9rahmTvPAYUu","Elmatadormc7","2024-03-05","https://i.scdn.co/image/ab67616d0000b273c4558dfe4a442228ec25ff6e","1","1","168960","https://p.scdn.co/mp3-preview/412c9ee6f026e8b9a91c90cb7d658fdcd4fef8b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","QZ8BZ2408047","spotify:user:73ttrt8qnlg57su28efs27qao","2024-06-12T14:08:36Z"
