"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:688QpQAwqsLdBR6lr13wK1","Same Bitches (feat. G-Eazy & YG)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:0A0FS04o6zMoto8OKPsDwY","Post Malone, G-Eazy, YG","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","14","212466","https://p.scdn.co/mp3-preview/ee0fdbc0d029df29e0d6de1de0307929a86444c3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USUM71805174","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2019-12-26T21:04:03Z"
"spotify:track:0GQKP2WgHvBA8Nzb4xZu36","6 God","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2bfWH730j0HtAJrNcg1LuP","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2735e371c9d44d7ab36d8969c81","1","7","180666","https://p.scdn.co/mp3-preview/30f721ff8f457bf651a57d15607d8cc096e4a8a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51500021","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2019-12-27T10:00:27Z"
"spotify:track:6HZILIRieu8S0iqY8kIKhj","DNA.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","2","185946","https://p.scdn.co/mp3-preview/107655a6c41a8d0f62a53b5573e1d9288a498e68?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUM71703079","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2019-12-27T10:03:27Z"
"spotify:track:79XrkTOfV1AqySNjVlygpW","Energy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:0ptlfJfwGTy0Yvrk14JK1I","If You're Reading This It's Too Late","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2015-02-12","https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733","1","2","181933","https://p.scdn.co/mp3-preview/0d3414f734e3bb1f205dd5948b4c79cbe5d04a6c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USCM51500012","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2019-12-27T10:07:11Z"
"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","HUMBLE.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","8","177000","https://p.scdn.co/mp3-preview/4e6df1ccb505e0d8a8f79086c321762a2b84bfd8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUM71703085","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2019-12-27T10:09:48Z"
"spotify:track:27GmP9AWRs744SzKcpJsTZ","Jumpman","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Drake, Future","spotify:album:1ozpmkWcCHwsQ4QTnxOOdT","What A Time To Be Alive","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Drake, Future","2015-09-20","https://i.scdn.co/image/ab67616d0000b273d6adfbd3f091d6f2b9af6507","1","9","205879","https://p.scdn.co/mp3-preview/7e96c1e06866ccef196f4de86e77fee72f1f0a0d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USCM51500300","spotify:user:11135692880","2019-12-28T17:30:45Z"
"spotify:track:6fujklziTHa8uoM5OQSfIo","Black Beatles","spotify:artist:7iZtZyCzp3LItcw1wtPI3D, spotify:artist:13y7CgLHjMVRMDqxdx0Xdo","Rae Sremmurd, Gucci Mane","spotify:album:5v6iBhIlflzR9rEd1LAMbd","SremmLife 2 - Deluxe","spotify:artist:7iZtZyCzp3LItcw1wtPI3D","Rae Sremmurd","2016-08-12","https://i.scdn.co/image/ab67616d0000b273881fb62d913fe712fc2e1c95","1","5","291893","https://p.scdn.co/mp3-preview/b1aca8f469d2f2f19962e9dd1ab6be753e3e1c4a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USUM71603293","spotify:user:11135692880","2019-12-28T17:30:52Z"
"spotify:track:10I3CmmwT0BkOVhduDy53o","Really Really","spotify:artist:1gPhS1zisyXr5dHTYZyiMe","Kevin Gates","spotify:album:5Hs43ta4vAYKRRRR7DKjt9","Islah (Deluxe)","spotify:artist:1gPhS1zisyXr5dHTYZyiMe","Kevin Gates","2016-01-29","https://i.scdn.co/image/ab67616d0000b273e9f118d86ff427f89bdcbb74","1","2","232093","https://p.scdn.co/mp3-preview/5df72a13347062ea9e32c89e743136ee4ccf3de6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USAT21503157","spotify:user:11135692880","2019-12-28T17:31:06Z"
"spotify:track:5nN8BwAQDJDguq7Dpd3JQQ","Where Ya At (feat. Drake)","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:3TVXtAsR1Inumwj472S9r4","Future, Drake","spotify:album:0fUy6IdLHDpGNwavIlhEsl","DS2 - Deluxe","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","2015-07-17","https://i.scdn.co/image/ab67616d0000b273b2592bea12d840fd096ef965","1","3","208026","https://p.scdn.co/mp3-preview/76fa4f447fc86fa6eb60aa96085a70d1b56399f8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USSM11505577","spotify:user:11135692880","2019-12-28T17:31:59Z"
"spotify:track:6p8NuHm8uCGnn2Dtbtf7zE","Slippery (feat. Gucci Mane)","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG, spotify:artist:13y7CgLHjMVRMDqxdx0Xdo","Migos, Gucci Mane","spotify:album:2AvupjUeMnSffKEV05x222","Culture","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","2017-04-07","https://i.scdn.co/image/ab67616d0000b273cf9b68115dcb2a222c252f00","1","6","304041","https://p.scdn.co/mp3-preview/dfdac90b02693a8f3086a5be58683c6ed243ee21?cid=9950ac751e34487dbbe027c4fd7f8e99","true","14","QMCE31600876","spotify:user:11135692880","2019-12-28T17:32:00Z"
"spotify:track:7sO5G9EABYOXQKNPNiE9NR","Ric Flair Drip (with Metro Boomin)","spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW, spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Offset, Metro Boomin","spotify:album:0MV1yCXcNNQBfwApqAVkH0","Without Warning","spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW, spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","21 Savage, Offset, Metro Boomin","2017-10-30","https://i.scdn.co/image/ab67616d0000b2730db43130a9aaa7bae56967ed","1","3","172800","https://p.scdn.co/mp3-preview/89cee86b4663ac093731d7a433491dd71e286f61?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","QZ45A1700064","spotify:user:11135692880","2019-12-28T17:33:09Z"
"spotify:track:6TrjaOqUwdKQ7KNxJr2s9Y","Shooters","spotify:artist:2jku7tDXc6XoB6MO2hFuqg","Tory Lanez","spotify:album:4RQIHpmmapmEpOFNi2GvAB","MEMORIES DON'T DIE","spotify:artist:2jku7tDXc6XoB6MO2hFuqg","Tory Lanez","2018-03-02","https://i.scdn.co/image/ab67616d0000b273f7ae3e24169dae52de6dd842","1","3","208173","https://p.scdn.co/mp3-preview/44f4f516b424cfde1fb3a1339c9ab6f67a546281?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USUM71710220","spotify:user:11135692880","2019-12-28T17:34:10Z"
"spotify:track:3s4mrPrEFFPF0LmAfutW0n","The London (feat. J. Cole & Travis Scott)","spotify:artist:50co4Is1HCEo8bhOyUWKpn, spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Young Thug, J. Cole, Travis Scott","spotify:album:1bnHPO4dKK7IjvgrtVBcQh","So Much Fun","spotify:artist:50co4Is1HCEo8bhOyUWKpn","Young Thug","2019-08-16","https://i.scdn.co/image/ab67616d0000b2736fcd1b6e205d0d19d9efa0cc","1","19","200186","https://p.scdn.co/mp3-preview/6a2dd9049a646e3336c09bbd01fbc8665d9f5ca3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USAT21903320","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2019-12-28T22:02:05Z"
"spotify:track:5mqzhMuUpvnMfwNz6iepmO","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:3wyVrVrFCkukjdVIdirGVY, spotify:artist:1CO6e7WRJvSFenmQO8n64C","Diplo, French Montana, Lil Pump, Zhavia","spotify:album:2onFbSBzB3f31hfCsAmw2g","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) [from Deadpool 2]","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:3wyVrVrFCkukjdVIdirGVY","Diplo, French Montana, Lil Pump","2018-05-15","https://i.scdn.co/image/ab67616d0000b2735990b7d72ab8451180f46e40","1","1","181720","https://p.scdn.co/mp3-preview/b9f7bb7a0718947938bbf3dd012903fbae80394b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USQX91800862","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2019-12-28T22:07:12Z"
"spotify:track:1MB0Zg2dxvckDkLuKC9hZb","Vroom Vroom Vroom","spotify:artist:3wyVrVrFCkukjdVIdirGVY","Lil Pump","spotify:album:3zGtADK8O9cFL3x6B2yvsB","Harverd Dropout","spotify:artist:3wyVrVrFCkukjdVIdirGVY","Lil Pump","2019-02-22","https://i.scdn.co/image/ab67616d0000b273a89a23025e950aa2aeaa4a22","1","11","113684","https://p.scdn.co/mp3-preview/6589a13ef6d04a968b223a34c82d8f36b274494a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","24","USWB11900410","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2019-12-28T22:07:33Z"
"spotify:track:04MLEeAMuV9IlHEsD8vF6A","No Stylist (feat. Drake)","spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:3TVXtAsR1Inumwj472S9r4","French Montana, Drake","spotify:album:0DMvfJWc1DjSbmnJF1NW1o","No Stylist","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2018-09-20","https://i.scdn.co/image/ab67616d0000b273816673ed1db2aa75cfa91843","1","1","192172","https://p.scdn.co/mp3-preview/2be6fa4b6e69fd0f484dcc5df01da4b528cd5116?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USSM11807535","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2019-12-28T22:10:20Z"
"spotify:track:6n4U3TlzUGhdSFbUUhTvLP","Walk It Talk It","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG, spotify:artist:3TVXtAsR1Inumwj472S9r4","Migos, Drake","spotify:album:7fd7SEK25VS3gJAUgSwL6y","Culture II","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","2018-01-26","https://i.scdn.co/image/ab67616d0000b2739c188c494d8bfaf895411890","1","6","276147","https://p.scdn.co/mp3-preview/3a30c99144cb2a35808ea1b868c715317510969a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUM71800983","spotify:user:60sjvj7fbnqexdy4f5xx3fxat","2020-01-04T01:12:23Z"
