"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1mvyqSb1tOvtVP1qfWEyPa","1901","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:2TVvPbLNPTCZS8lPHs1rZW","Wolfgang Amadeus Phoenix","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2009","https://i.scdn.co/image/ab67616d0000b273cb36983369136148fecece5a","1","2","193120","https://p.scdn.co/mp3-preview/51f9b6a2218009fa259e44b6ba944744f44c0f37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","FR31Q0900002","spotify:user:11135692880","2022-09-06T07:34:06Z"
"spotify:track:4pG3qucOJo5Y61uKL7JWdm","Punching In A Dream - Single Version","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:2gDOioMgafQmwPnnjSPFBX","Punching In A Dream","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010-01-01","https://i.scdn.co/image/ab67616d0000b273324fa2cba6ecec820b19f331","1","1","214226","https://p.scdn.co/mp3-preview/5804dc5332908a03957688da0898d50f104962da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","NZNK11000015","spotify:user:11135692880","2022-09-06T07:34:44Z"
"spotify:track:25nzKGDiua1lE9Qo5V19GL","Young Blood","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:5ImvJCAX33Pt2XGMaYaMia","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce","1","7","246600","https://p.scdn.co/mp3-preview/d90ad1c04bdbaa1f23775f6e450bb6ef4700feb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","NZNK11000001","spotify:user:11135692880","2022-09-06T07:34:44Z"
"spotify:track:2eQOMQkStoRUQyq6HGh1iG","San Francisco","spotify:artist:6AGUQK1EWK6nvN4pLIDQDQ","The Mowgli's","spotify:album:4pmOIOmY4QXH1rMSqHMOGH","Waiting For The Dawn","spotify:artist:6AGUQK1EWK6nvN4pLIDQDQ","The Mowgli's","2013-01-01","https://i.scdn.co/image/ab67616d0000b2738960122b302fa9b103eb6bf2","1","1","173093","https://p.scdn.co/mp3-preview/159a3a0603abbb1763460e24eaf0297a9e893850?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USUM71213439","spotify:user:11135692880","2022-09-06T07:34:44Z"
"spotify:track:1GzeyDrul7da45BQASLiKL","Hearts Like Ours","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:50gVKxoJ6fY4nsCAgjQZFc","In Rolling Waves","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2013-01-01","https://i.scdn.co/image/ab67616d0000b2738b089af7b06bec4e65a6eb4f","1","2","272053","https://p.scdn.co/mp3-preview/612e033ff1747b76d69b184a01a9f66900aa634e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBUM71304340","spotify:user:11135692880","2022-09-06T07:34:44Z"
"spotify:track:7d23MhPFE9eB3U8DPRirnL","Disparate Youth","spotify:artist:6Jrxnp0JgqmeUX1veU591p","Santigold","spotify:album:69jrxUSjHoEu6PeBMq3273","Master of My Make-Believe","spotify:artist:6Jrxnp0JgqmeUX1veU591p","Santigold","2012-04-16","https://i.scdn.co/image/ab67616d0000b27381a3294d8cb52667c8701e6f","1","2","284400","https://p.scdn.co/mp3-preview/12c048834f5a2b36c51f85fd8e2fda9aa2cb7486?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAHS1100389","spotify:user:11135692880","2022-09-06T07:34:44Z"
"spotify:track:2s9M78CDrQDjB2D827XXr4","Higher","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:0m9VQlYqaZTktKzkbGPsve","Simple Forms","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2016-10-14","https://i.scdn.co/image/ab67616d0000b2736912e8ab0405ed426fa0f521","1","1","230746","https://p.scdn.co/mp3-preview/f138ed27d5648ea3fa931bd87c33f5b47c5ff1ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NZNK11600001","spotify:user:11135692880","2022-09-06T07:34:44Z"
"spotify:track:6GyFP1nfCDB8lbD2bG0Hq9","Midnight City","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","spotify:album:6EB14IXV5oyOiItGBv7mtG","Hurry up, We're Dreaming","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","2011-10-17","https://i.scdn.co/image/ab67616d0000b273b3591763154a27326b3f431a","1","2","243960","https://p.scdn.co/mp3-preview/a3bbe39182561b00b4104b859c29361732c0978d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GB55H1100002","spotify:user:11135692880","2022-09-06T07:34:44Z"
"spotify:track:117LA4c5O1XWnU2GtEFTKP","Goldrushed","spotify:artist:7LAucJAvbQa7ZIA0qP8YI2","The Royal Concept","spotify:album:3ePQz1sISfqg7okCZNfCRo","Goldrushed","spotify:artist:7LAucJAvbQa7ZIA0qP8YI2","The Royal Concept","2021-01-29","https://i.scdn.co/image/ab67616d0000b2731f0bd0850d72be2c9f0c7193","1","11","226906","https://p.scdn.co/mp3-preview/88b99def0049a048f4a5d06cb26fff542d99e0ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USUM71403909","spotify:user:11135692880","2022-09-06T07:34:44Z"
"spotify:track:5lRzWDEe7UuedU2QPsFg0K","The Funeral","spotify:artist:0OdUWJ0sBjDrqHygGUXeCF","Band of Horses","spotify:album:7ik4rjxOnmwnAWWzjj5ni3","Everything All The Time","spotify:artist:0OdUWJ0sBjDrqHygGUXeCF","Band of Horses","2006-03-21","https://i.scdn.co/image/ab67616d0000b273024bdaecebd5e9d3b6a0949e","1","4","322173","https://p.scdn.co/mp3-preview/a3d4810ce9c8ea8771bf5d2de93cadc44ec1ee77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSUB0669004","spotify:user:11135692880","2022-09-06T07:34:44Z"
