"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0wlVropyv3VsqG5HepMfu2","WWE: The Time Is Now (John Cena)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:0CV4DAO1wV3ikZGYIkMtmh, spotify:artist:1bPFOqvoGk96MUHVGc6f1f","WWE, John Cena, Tha Trademarc","spotify:album:030lft6PSpUxOmx0OkM6F2","WWE: The Time Is Now (John Cena)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:0CV4DAO1wV3ikZGYIkMtmh, spotify:artist:1bPFOqvoGk96MUHVGc6f1f","WWE, John Cena, Tha Trademarc","2011-06-20","https://i.scdn.co/image/ab67616d0000b273d04363a5a0a8d0d072774d13","1","1","176791","https://p.scdn.co/mp3-preview/babf9cd952f44fc943febcdb201049001fd487fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USBAC1100101","spotify:user:11135692880","2022-02-11T00:08:08Z"
"spotify:track:35bgx24EQeW7IiA4nFXivH","WWE: The Game (Triple H)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:1DFr97A9HnbV3SKTJFu62M","WWE, Motörhead","spotify:album:2WeboHEKaX6Z6hLo4aGHFK","WWE: The Game (Triple H)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:1DFr97A9HnbV3SKTJFu62M","WWE, Motörhead","2011-06-01","https://i.scdn.co/image/ab67616d0000b273c1a932c83be39ad4b9ee34da","1","1","211126","https://p.scdn.co/mp3-preview/173c344bc7007f82a471b494afd1abeab568009a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USBAC1102001","spotify:user:11135692880","2022-02-11T00:08:08Z"
"spotify:track:4efaOZQDP1XwApNaRc7UYu","WWE: Voices (Randy Orton) [feat. Rev Theory]","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:10n5DVRlZbjbZ5ffpwpn6l","WWE, Rev Theory","spotify:album:6mGyjK9Ptr2tH7JbaZlUaa","WWE: Voices (Randy Orton) [feat. Rev Theory]","spotify:artist:0spHbv2fw49lDMkbOAdaqX","WWE","2011-05-25","https://i.scdn.co/image/ab67616d0000b273a3758312435de932d9ae8833","1","1","204636","https://p.scdn.co/mp3-preview/d609b75bc88d1001c4cef57abdd201b555885f15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USBAC1100301","spotify:user:11135692880","2022-02-11T00:08:08Z"
"spotify:track:0ekLsRL37OnzqAYDiVadmU","WWE: Next Big Thing (Brock Lesnar)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:6irRU9KRGb0cMtlsBZMg2i","WWE, Jim Johnston","spotify:album:3R8G6p4BpPSDAejHgw9tny","WWE: Next Big Thing (Brock Lesnar)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:6irRU9KRGb0cMtlsBZMg2i","WWE, Jim Johnston","2012-04-09","https://i.scdn.co/image/ab67616d0000b273df88441f70a7a10ad4318e85","1","1","182842","https://p.scdn.co/mp3-preview/0886af4dcc7fefe8579a40805db96331f51f9b5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USBAC1200800","spotify:user:11135692880","2022-02-11T00:08:08Z"
"spotify:track:2YZierwCweW3mdEyQXpuYh","WWE: Are You Ready? (Extended Version) [D-Generation X]","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:6irRU9KRGb0cMtlsBZMg2i","WWE, Jim Johnston","spotify:album:7qdWp91oYZ1kP4rck13Nwe","WWE: Are You Ready? (Extended Version) [D-Generation X]","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:6irRU9KRGb0cMtlsBZMg2i","WWE, Jim Johnston","2012-08-31","https://i.scdn.co/image/ab67616d0000b2739a302fb5318009aa710a5415","1","1","174109","https://p.scdn.co/mp3-preview/7a87efaad76602f9dec5d7ab98a1e2d63b9585c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USBAC1109800","spotify:user:11135692880","2022-02-11T00:08:20Z"
"spotify:track:61X11F7Hx7TubRYAu9KOdk","WWE: Electrifying (The Rock)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:6irRU9KRGb0cMtlsBZMg2i","WWE, Jim Johnston","spotify:album:6wyyUNBrmnSkhVsaUKWyIp","WWE: Electrifying (The Rock)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:6irRU9KRGb0cMtlsBZMg2i","WWE, Jim Johnston","2011-05-24","https://i.scdn.co/image/ab67616d0000b2737251f0b555732c8b80d921f6","1","1","148829","https://p.scdn.co/mp3-preview/449b7147e9b3bc60d6a10c31473fea2e7ca86c9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USBAC1103500","spotify:user:11135692880","2022-02-11T00:08:30Z"
"spotify:track:0VMqWQGY5xb2yi98bS6z2b","WWE: I Came To Play (The Miz)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:4g6EnIPhmYBTZ7vsmxDkxH","WWE, Downstait","spotify:album:32niZysz2D9Kn2poOejBfw","WWE: I Came To Play (The Miz)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:4g6EnIPhmYBTZ7vsmxDkxH","WWE, Downstait","2011-05-31","https://i.scdn.co/image/ab67616d0000b273579dbde6aeb5a3047b3c4dbf","1","1","296966","https://p.scdn.co/mp3-preview/6fbc56fc32a098b2a044237e02a2ba798ba64012?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USBAC1100401","spotify:user:11135692880","2022-02-11T00:08:44Z"
"spotify:track:71FkjfHQrninkwXX7Mz3v6","WWE: Written in My Face (Sheamus)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:6irRU9KRGb0cMtlsBZMg2i, spotify:artist:1jJKwjqxBLMq6Ewbw5dfkJ","WWE, Jim Johnston, Sean Jenness","spotify:album:5Ioe3YDf9LWtThmetXZC9b","WWE: Written in My Face (Sheamus)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:6irRU9KRGb0cMtlsBZMg2i, spotify:artist:1jJKwjqxBLMq6Ewbw5dfkJ","WWE, Jim Johnston, Sean Jenness","2011-06-02","https://i.scdn.co/image/ab67616d0000b27314bcb2f3109c9dcc70189d54","1","1","213545","https://p.scdn.co/mp3-preview/c6490e91b81d72f78af7c24e4af93e0e07e392da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USBAC1100501","spotify:user:11135692880","2022-02-11T00:08:44Z"
"spotify:track:5UGZdhs8JOfap8hUYMOrGx","Basic Thugonomics","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:0CV4DAO1wV3ikZGYIkMtmh","WWE, John Cena","spotify:album:3Djp6coEDe4nWesghhQjSP","WWE: Originals","spotify:artist:0spHbv2fw49lDMkbOAdaqX","WWE","2004-01-13","https://i.scdn.co/image/ab67616d0000b2732255d3467d96a7541553b27b","1","16","194040","https://p.scdn.co/mp3-preview/8c373dfa2bfd010beee16946bcaffd8ae66da163?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USBAC1010112","spotify:user:11135692880","2022-02-11T00:09:22Z"
"spotify:track:6tKUiAAwCZIVJMeLQDVor3","Burn In My Light (Randy Orton)","spotify:artist:0spHbv2fw49lDMkbOAdaqX, spotify:artist:1Kr4H9ICyxG2OvW8dk0jow","WWE, Mercy Drive","spotify:album:2m4KqjduGuZ3Vd4xdCnwMc","WWE: Wreckless Intent","spotify:artist:0spHbv2fw49lDMkbOAdaqX","WWE","2006-05-23","https://i.scdn.co/image/ab67616d0000b2733d6278f38dbf73526e7bf948","1","2","235106","https://p.scdn.co/mp3-preview/efb3d6f7683709d863c51c0b4d3dce6f9b0045a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USBAC1010115","spotify:user:11135692880","2022-02-11T00:09:37Z"
