"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1H5VQuShs4qfwBXyHF0PeH","Narcotic - Radio Edit","spotify:artist:0wgLwvDNCHdJ9FblyyD4Dc","Liquido","spotify:album:79EDJF2fJnnM7YVKCAeQXj","Narcotic","spotify:artist:0wgLwvDNCHdJ9FblyyD4Dc","Liquido","1998-07-10","https://i.scdn.co/image/ab67616d0000b2738b28efbba32db47b0172fd9e","1","1","236150","https://p.scdn.co/mp3-preview/3eeccda36159f511f9b4ec008b2a30622bc5bfc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","DEG129800581","spotify:user:11135692880","2018-08-23T13:11:54Z"
"spotify:track:1hWrl3T1kIH5b9zRHLfCOn","What's My Age Again?","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","spotify:album:1fF8kYX49s5Ufv4XEY5sjW","Enema Of The State","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","1999-01-01","https://i.scdn.co/image/ab67616d0000b27315a7914ef11f09b4c537f078","1","5","148573","https://p.scdn.co/mp3-preview/e73273f1d5a2b8d94dcd54d9f1a90e636e8c24bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMC19959007","spotify:user:11135692880","2018-08-23T13:11:54Z"
"spotify:track:4lJ7efVhAn1JWrGhguqJNY","Adrenalina","spotify:artist:7JOervne0BnU0raxSI5Ooc","Finley","spotify:album:1GJOUX3siTd956lv5xxEVq","Tutto Finley","spotify:artist:7JOervne0BnU0raxSI5Ooc","Finley","2015-11-20","https://i.scdn.co/image/ab67616d0000b27381425e44cdaac1745c64fb09","1","10","175266","https://p.scdn.co/mp3-preview/292e703339f0b93039a80b69539597c49732d614?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITD420700002","spotify:user:11135692880","2018-08-23T13:13:06Z"
"spotify:track:1hrsEHe39nYu1pJx0Nrxd7","Shine","spotify:artist:1XgFuvRd7r5g0h844A5ZUQ","Take That","spotify:album:676W2PECpK9UJuuqyjXRjk","Beautiful World","spotify:artist:1XgFuvRd7r5g0h844A5ZUQ","Take That","2006-01-01","https://i.scdn.co/image/ab67616d0000b27306e7629fa095158d50b73d57","1","6","211506","https://p.scdn.co/mp3-preview/535f8435bd926446433c82ef46bff15ab1161caf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBUM70605021","spotify:user:11135692880","2018-08-23T13:13:06Z"
"spotify:track:6PvYTAWLe9BfPAfjrwSTVF","Monsoon","spotify:artist:46aNfN89JrOQTCy97GoCHa","Tokio Hotel","spotify:album:1fVBkHEa6ZNjV30AHfGDu5","Scream","spotify:artist:46aNfN89JrOQTCy97GoCHa","Tokio Hotel","2007-01-01","https://i.scdn.co/image/ab67616d0000b2737ebd600c2104fef9dc476f53","1","3","241426","https://p.scdn.co/mp3-preview/b6d15345efba750d702cf8953b6ff945b24a7f0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEUM70606640","spotify:user:11135692880","2018-08-23T13:13:06Z"
"spotify:track:01wtmayjyWe7qLAuifEENd","Break It Out","spotify:artist:2XrNRNN0hjf3OLzetWqsyR","Vanilla Sky","spotify:album:1E5DUoUEuHEffS7E803yvu","Changes","spotify:artist:2XrNRNN0hjf3OLzetWqsyR","Vanilla Sky","2007-06-22","https://i.scdn.co/image/ab67616d0000b273057e6f8d58479435b16a03e3","1","1","209040","https://p.scdn.co/mp3-preview/6a250645e689beac3ec4a270c873d178bada246c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","QMFME1320799","spotify:user:11135692880","2018-08-23T13:13:06Z"
"spotify:track:1JBa9B1iA4yNVpJ5wVGrZH","From Yesterday","spotify:artist:0RqtSIYZmd4fiBKVFqyIqD","Thirty Seconds To Mars","spotify:album:5sHvTCk793vr9EkSKcD7IT","A Beautiful Lie","spotify:artist:0RqtSIYZmd4fiBKVFqyIqD","Thirty Seconds To Mars","2005-01-01","https://i.scdn.co/image/ab67616d0000b273865b538169f199dac610b854","1","7","247373","https://p.scdn.co/mp3-preview/d5f2a6d9622f0f34c489cbd379c60c38637c4828?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USVI20500138","spotify:user:11135692880","2018-08-23T13:13:06Z"
"spotify:track:5HbCnVLXRyZVxnreOPgJCK","Girlfriend","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","spotify:album:5dfbrFuG8lfC4Yi75J8NmK","The Best Damn Thing","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","2007-04-17","https://i.scdn.co/image/ab67616d0000b27345f041b52864bda5275f1b35","1","1","216600","https://p.scdn.co/mp3-preview/25483d1567806722fd59bdf01eaf0424e0784351?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USRC10700021","spotify:user:11135692880","2018-08-23T13:13:38Z"
"spotify:track:10zXIbbl3piVOGU7aTuK4a","Parlami d'amore","spotify:artist:1X9iZlQXfAAx4Vvmlqeao7","Negramaro","spotify:album:36FHxTwirWpSCwuXJqaaBo","Una storia semplice (Deluxe Edition)","spotify:artist:1X9iZlQXfAAx4Vvmlqeao7","Negramaro","2012-11-06","https://i.scdn.co/image/ab67616d0000b2737266c6d9b445102b9b0dd7ec","1","9","200613","https://p.scdn.co/mp3-preview/0e04f40c12ec9f5472da29f9bb09d612b55fc7ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITZ040700034","spotify:user:11135692880","2018-08-23T13:13:38Z"
"spotify:track:1fr92Vupmcs2vgLMFVQ7rd","In the Shadows","spotify:artist:76ptJV8617638xrpeoUtzl","The Rasmus","spotify:album:1J9W7Fkg34vdOVa8gR7dx7","Dead Letters","spotify:artist:76ptJV8617638xrpeoUtzl","The Rasmus","2003-03-24","https://i.scdn.co/image/ab67616d0000b2739ee03a565b0bbf6af8b9733c","1","2","257920","https://p.scdn.co/mp3-preview/c720eedfca3d850dcf5ecade2c31ab5101c12fe2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","SEVJH0201601","spotify:user:11135692880","2022-05-12T20:35:13Z"
"spotify:track:5fVZC9GiM4e8vu99W0Xf6J","How to Save a Life","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","spotify:album:1IM3GwptCGYjRkzCBolyFK","How To Save A Life","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","2005-09-13","https://i.scdn.co/image/ab67616d0000b27359b8b957f164ce660919f1f4","1","3","262533","https://p.scdn.co/mp3-preview/30d90238cdd10ea0a938ddc8ec122dabb87ac035?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSM10601178","spotify:user:11135692880","2018-08-23T13:13:38Z"
