"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2OfKkndS0V0ZhP5irwCHhy","Everybody's Changing","spotify:artist:53A0W3U0s8diEn9RhXQhVz","Keane","spotify:album:6EBAeYn2YJvmXp6AkK18Mc","Hopes And Fears - Deluxe Edition","spotify:artist:53A0W3U0s8diEn9RhXQhVz","Keane","2004-05-10","https://i.scdn.co/image/ab67616d0000b2738d175a2eed88b5cd85dab5aa","1","4","216520","https://p.scdn.co/mp3-preview/16dd989e5c545b81a7b5cdf7a6b42d6c685c4164?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBAAN0400092","spotify:user:11135692880","2020-02-14T05:04:26Z"
"spotify:track:2oBXn8htpoyjRqrkIGGm0a","Fuori Dal Tunnel","spotify:artist:4l0PmbNvFq3m5JaUuAPbcB","Caparezza","spotify:album:4xUNQ14qrJ61Kl0rUNHLxr","Verità Supposte","spotify:artist:4l0PmbNvFq3m5JaUuAPbcB","Caparezza","2003-01-01","https://i.scdn.co/image/ab67616d0000b273c85972ca9440da9e14010f5c","1","8","310266","https://p.scdn.co/mp3-preview/95d123cc15550cbaff7837869e1dd505b377f76b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITD000300033","spotify:user:11135692880","2020-02-14T05:05:37Z"
"spotify:track:65H6t1WQBim6q93yM8fEwn","Obsesion","spotify:artist:1qto4hHid1P71emI6Fd8xi, spotify:artist:1seU2dut8PjGSZbgrPl7by","Aventura, Judy Santos","spotify:album:5QdYO6Q2POaG7dhVIsJeWd","We Broke The Rules","spotify:artist:1qto4hHid1P71emI6Fd8xi","Aventura","2002-06-01","https://i.scdn.co/image/ab67616d0000b273e1afa83bd73aa80c0ff0ee34","1","1","254720","https://p.scdn.co/mp3-preview/fc9c4e31536a1e7f9584ce8c97be295b7de9bac9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","US83W0500074","spotify:user:11135692880","2020-02-14T05:05:37Z"
"spotify:track:1XZa6MDzWqCTeNATvtxzZY","Hey Ya!","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:54HLuBrH9xKiOqDJnIDTKR","Ultimate Workout","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2018-04-12","https://i.scdn.co/image/ab67616d0000b273c343e286bc0d53a9bd281c45","1","33","228004","https://p.scdn.co/mp3-preview/a714d057c9419828b9f28573815c15c2acabb208?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USAR10301095","spotify:user:11135692880","2020-02-14T05:05:37Z"
"spotify:track:0uqPG793dkDDN7sCUJJIVC","Where Is The Love?","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:1bNyYpkDRovmErm4QeDrpJ","Elephunk (International Version)","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2003-01-01","https://i.scdn.co/image/ab67616d0000b27356487e36f2e63eec78cac474","1","13","272533","https://p.scdn.co/mp3-preview/a8e15b9256e129c55789674b78041ede8bf91531?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USIR10311862","spotify:user:11135692880","2020-02-14T05:05:37Z"
"spotify:track:3JILPb8Uc6NKmHq1poT5ML","Shut Up","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:1bNyYpkDRovmErm4QeDrpJ","Elephunk (International Version)","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2003-01-01","https://i.scdn.co/image/ab67616d0000b27356487e36f2e63eec78cac474","1","5","296186","https://p.scdn.co/mp3-preview/16d7a14e2e542e821d04b5a6a8c548d920b38d57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USIR10311895","spotify:user:11135692880","2020-02-14T05:05:37Z"
"spotify:track:424BQDJzOJqfJCZusTvAZP","Vengo Dalla Luna","spotify:artist:4l0PmbNvFq3m5JaUuAPbcB","Caparezza","spotify:album:4xUNQ14qrJ61Kl0rUNHLxr","Verità Supposte","spotify:artist:4l0PmbNvFq3m5JaUuAPbcB","Caparezza","2003-01-01","https://i.scdn.co/image/ab67616d0000b273c85972ca9440da9e14010f5c","1","6","254680","https://p.scdn.co/mp3-preview/4be188d585c0830ca6c6ea7c714668a8f3eefdbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","ITD000300031","spotify:user:11135692880","2020-02-14T05:05:37Z"
"spotify:track:0KZ3pPBnuG9dQCkfhj715w","Figli Di Pitagora - Radio Edit","spotify:artist:5ENS85nZShljwNgg4wFD7D, spotify:artist:6g9yfu8k5sapPN9iisZhEW","Gabry Ponte, Little Tony","spotify:album:7mTjEx6WZQvU1PXznKKWtt","Dottor Jekyll & Mister Dj","spotify:artist:5ENS85nZShljwNgg4wFD7D","Gabry Ponte","2004-01-01","https://i.scdn.co/image/ab67616d0000b2735f661e6f3c68414ce162090a","1","1","223240","https://p.scdn.co/mp3-preview/03301293e2ff33cc4eba9a8c70b8073b80b728f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITD510400401","spotify:user:11135692880","2020-02-14T05:05:37Z"
"spotify:track:0VxCo33gHvc9caY4zLFDY8","Dragostea Din Tei - Original Mix","spotify:artist:52nyylMwstrViWmv92FvSP","Haiducii","spotify:album:6x9ajFA2eFPOWCGv8CVMcX","Dragostea Din Tei","spotify:artist:52nyylMwstrViWmv92FvSP","Haiducii","2003","https://i.scdn.co/image/ab67616d0000b2737ef973f11197e55eccbcd32d","1","1","213520","https://p.scdn.co/mp3-preview/64f03a592f8eb045721ea3839cd57eb3227df901?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITB780300226","spotify:user:11135692880","2020-02-14T05:05:37Z"
"spotify:track:6bz6uA8IhrNNvfCI4a5k3C","Calma e sangue freddo","spotify:artist:2fn14fRWqlvAtUYZs4YAwM","Luca Dirisio","spotify:album:42DqogydNZAr615e5y1CNr","Luca Dirisio","spotify:artist:2fn14fRWqlvAtUYZs4YAwM","Luca Dirisio","2004-11-12","https://i.scdn.co/image/ab67616d0000b27376922f59931218fb0bde4949","1","4","208146","https://p.scdn.co/mp3-preview/55634a68300ebe453f00359dbe0bb3d2e333f8f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITB000400061","spotify:user:11135692880","2020-02-14T05:05:37Z"
