"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7rmeGnfmopRMBHUet8Radg","Playing Fifa (feat. Randolph)","spotify:artist:1Gjn8kcdkCpEtj4xoc4vrc, spotify:artist:3k13k6CGv7MidIBUoqvUsN","Monstah, Randolph","spotify:album:51ToJIt5q7pJ3UCS71S3gh","Playing Fifa (feat. Randolph)","spotify:artist:1Gjn8kcdkCpEtj4xoc4vrc","Monstah","2015-01-30","https://i.scdn.co/image/ab67616d0000b273b22132597ad984658c0a3b35","1","1","253714","https://p.scdn.co/mp3-preview/79090a98579ae33f45e12d6c5d365fa2d977d59e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","TCACD1550177","spotify:user:pivimkh","2015-03-12T17:59:00Z"
"spotify:track:1mhdEO1cBTccQ3tknmM6ng","Lamborghini","spotify:artist:1nzgtKYFckznkcVMR3Gg4z, spotify:artist:6WjX4pepHwXa85B9KMk0PY","KSI, P Money","spotify:album:3sXYXauQUFAk2JYbjm3w1U","Lamborghini","spotify:artist:1nzgtKYFckznkcVMR3Gg4z","KSI","2015-03-15","https://i.scdn.co/image/ab67616d0000b27363178d1b81bd17d081249cf4","1","1","176428","https://p.scdn.co/mp3-preview/56e0016ff72b691f9f4108ae728930ac3699b32c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","UK2WJ1500001","spotify:user:pivimkh","2015-03-21T13:27:26Z"
"spotify:track:17cwrE4ASBpTWB9CmwTZ7v","This Is So Good - Original Mix","spotify:artist:05hjhfAkaq7AvNI0rx55Bj","Ehrencrona","spotify:album:1Ypt1rtNTaMy3rXZcAUkYQ","Progressive Anthems 2013","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2012-12-21","https://i.scdn.co/image/ab67616d0000b273b92fa118eec63ae7a99bde2b","1","7","373134","https://p.scdn.co/mp3-preview/6545ba35d8f1e2103bd82113b5ccffe2b21890bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEHK91250202","spotify:user:pivimkh","2015-03-21T13:27:51Z"
"spotify:track:4i4I2suhP9ls248YMY7R8O","Whistlin' Tune","spotify:artist:2mhhbsaYQOy8obnBioeJBD, spotify:artist:2Dd9d6bfx5t4d5egzeiNr7","Richard Hardelstein, Scott Liggett","spotify:album:3AdYfmjTtu2G08dfFVD9m1","Music Bistro","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2007-06-02","https://i.scdn.co/image/ab67616d0000b2733ce03b5074da79a830f34bfa","1","3","62093","","false","0","US4R30710766","spotify:user:pivimkh","2015-03-21T13:27:51Z"
"spotify:track:3G4JCgSCGZczlEsyB6YkVY","New Lands","spotify:artist:1gR0gsQYfi6joyO1dlp76N","Justice","spotify:album:1XWz4cZ6Q6YW3pOni2b49m","Audio, Video, Disco.","spotify:artist:1gR0gsQYfi6joyO1dlp76N","Justice","2011-10-17","https://i.scdn.co/image/ab67616d0000b2733158ed57038f1850077daa1d","1","9","254493","https://p.scdn.co/mp3-preview/f4b349f2266c412ab09bff5e0b0621c2430057f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR0NT1100880","spotify:user:pivimkh","2015-03-21T13:27:51Z"
"spotify:track:4JjUwfp8GQ3PxWg2QPKnpn","300 Violin Orchestra","spotify:artist:6dOgQbtNGEOKGXEsAi0puC","Jorge Quintero","spotify:album:4qYSyA9eRrQwwf0fkuIFdV","Hip Hop and Rnb Instrmentals","spotify:artist:6dOgQbtNGEOKGXEsAi0puC","Jorge Quintero","2008-07-02","https://i.scdn.co/image/ab67616d0000b273145a0c57960a468037b8b1fd","1","13","178025","https://p.scdn.co/mp3-preview/598e4b79185cfae7b10c67410f6192e44e17235f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USTC50890760","spotify:user:pivimkh","2015-03-21T13:27:51Z"
"spotify:track:5ERWSokrBWx8sUwHV6QN93","Surface","spotify:artist:6lO3fSdhsdpeOcrbqAJsRU","Aero Chord","spotify:album:1zN6UAifpSmyow9TbLBRwD","Surface","spotify:artist:6lO3fSdhsdpeOcrbqAJsRU","Aero Chord","2014-04-23","https://i.scdn.co/image/ab67616d0000b27342bcc4bb60ad21adf79d9802","1","1","254117","https://p.scdn.co/mp3-preview/f4d77ea18487adc36249a43e5724945afcc0a827?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CA6D21000356","spotify:user:pivimkh","2015-03-21T13:27:51Z"
"spotify:track:0aYocM3CuOk22ngoRRYBVR","Benny Hill","spotify:artist:1Ja1a5xm0UYBSxoABjyhRR","The Edwin Davids Jazz Band","spotify:album:5WbTgSbKU9t8mjcIghxPPM","Les Meilleurs Génériques De L'histoire De La Télé, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2007-01-02","https://i.scdn.co/image/ab67616d0000b2731a7f593c20458a2d9dd69f71","1","14","66293","https://p.scdn.co/mp3-preview/7be159b19c03888f13dd39f0813572356dd753ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","FRX080600320","spotify:user:pivimkh","2015-03-21T13:27:51Z"
"spotify:track:6pc8xULSlsMdFB3OrqbvZ4","Celebration - Single Version","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang","spotify:album:5RyMdc2cQbURYCUDbzjR6w","Celebration / Morning Star","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang","1980","https://i.scdn.co/image/ab67616d0000b273c9ed11f8e6d80e57ee4d349e","1","1","215653","https://p.scdn.co/mp3-preview/21d662def320fe7790ae180cb7a4d24b577af2f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USPR38007166","spotify:user:pivimkh","2015-03-21T13:27:51Z"
"spotify:track:05a7HoCScUnaRvJ3zKFyeZ","Follow Me","spotify:artist:28Ky95tmlHktB96DBUoB0g","Tristam","spotify:album:3ytUKtlpaFb8861ocOF3MV","Monstercat 005 - Evolution","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2012-02-13","https://i.scdn.co/image/ab67616d0000b27360059e505ca7490e9f5d520d","1","7","260975","https://p.scdn.co/mp3-preview/1cffb63c4c0f8ed91296d47924a592955e0b5f5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCABE1206480","spotify:user:pivimkh","2015-03-21T13:27:51Z"
