"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7J7vMP45n2p33jimaHO8iK","LUNA E SOLE - prod Low Kidd","spotify:artist:6udpKGzl85NuBEkZqOXiYB","Zoda","spotify:album:0E6FHePm4ZCHMiXcRETVK8","UFO","spotify:artist:6udpKGzl85NuBEkZqOXiYB","Zoda","2019-06-21","https://i.scdn.co/image/ab67616d0000b273079edb9c849067157a83e27e","1","2","182906","https://p.scdn.co/mp3-preview/f2e1086d0d0b490394268b343d16869aca196692?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","ITB001900277","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7kyOleSPiSg5rtARYbaIFk","Profezia","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","spotify:album:7a8pBg426ohFGpFaYWsvHf","LEON","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","2024-03-21","https://i.scdn.co/image/ab67616d0000b273b696c9dbfa799ebeb6cb86b7","1","1","138750","https://p.scdn.co/mp3-preview/200db7050eee2a1cbe2506d0fa91c239cd525d51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITUM72300761","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4LGNiMp7fIbeu5JOn4Mz99","Take 342","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW, spotify:artist:1El4YQA8oCXX7ynFSxRTFq, spotify:artist:2MHmkhhM0YyMaDHtwuW1US","Real Talk, Massimo Pericolo, TwentyTwo","spotify:album:5sgbf3eNVVGUvXMQYg7BNz","4/2 - EP","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW","Real Talk","2020-03-13","https://i.scdn.co/image/ab67616d0000b273f830a4c564ca03e376a2851d","1","2","115769","https://p.scdn.co/mp3-preview/92db1c48ab69ae6ff50cc4535538012f134887da?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","ITUR32097037","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1ibVG0eXe9WlEPPLiwDD2B","MACCHINE (feat. Nicola Siciliano, Bresh)","spotify:artist:2DWRgncNMnTfwDiKSI0VoP, spotify:artist:0q0CTttRdwiuDFmDiN7jAt, spotify:artist:7FeObngbQ0GY3SojNwKdKn","TY1, Nicola Siciliano, Bresh","spotify:album:79Oed24d4hksRxWfyNtZbO","DJUNGLE UNCHAINED","spotify:artist:2DWRgncNMnTfwDiKSI0VoP","TY1","2022-12-16","https://i.scdn.co/image/ab67616d0000b273e2f116015b76343849e5a18b","1","3","192580","https://p.scdn.co/mp3-preview/ff0f5e8dc07cd3196def4d767083f117bd049dc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITDF62277088","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0gFpaf1YGFOwFy5DZGYuzx","Quanto freddo fa","spotify:artist:5RiGhrEoM1SBjZoY25lCfe, spotify:artist:3sC3sCpqSYClSdKez9Rs6k","Nashley, Giaime","spotify:album:0cfRccuyBDOpk4zqIVJBYX","Quanto freddo fa","spotify:artist:5RiGhrEoM1SBjZoY25lCfe, spotify:artist:3sC3sCpqSYClSdKez9Rs6k","Nashley, Giaime","2019-09-19","https://i.scdn.co/image/ab67616d0000b273fd4afff8bb43f8bed712a154","1","1","189073","https://p.scdn.co/mp3-preview/1608cc28752676b876e66350fa6663e3a9eef318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ITK191900140","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3eSSVIw9YbVm1SLNxqtdjR","SOGNI MATTI (feat. Leon Faun & Drast)","spotify:artist:0hk4xVujcyOr6USD95wcWb, spotify:artist:4e250LmaRPGcp0rbUbJtJm, spotify:artist:14XRgLXin9R3eKTNXBNwos","Sick Luke, Drast, Leon Faun","spotify:album:6ZVOpNfX2JMfAFDqEfmyQ5","X2","spotify:artist:0hk4xVujcyOr6USD95wcWb","Sick Luke","2022-01-07","https://i.scdn.co/image/ab67616d0000b273e45f97fc68a12ca3601b1047","1","11","197009","https://p.scdn.co/mp3-preview/59d7f3ab0893b8fbd5d0bc50c0bf00983f718967?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","ITB262101050","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3OXUD0lu9acI8fJ128ahux","Assurdo","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","spotify:album:4f2X95RchTmjdcE0CZPCXV","Assurdo","spotify:artist:0RENwV6Phsp2y8nnFJ54UC, spotify:artist:1sHljqzdPCaYRcFrkHW8if","Tredici Pietro, Mr. Monkey","2019-05-27","https://i.scdn.co/image/ab67616d0000b273ba4193251c87eef1f9a9afde","1","1","166250","https://p.scdn.co/mp3-preview/8221c680249e2845c2ba683f081c5795c619203f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","ITDF61977037","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1b9gSi3I7ei5NbnM974NOU","Hooligans","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","spotify:album:2E7FoEPUap1gOqOQOgQWqc","Che io ci aiuti","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2020-07-24","https://i.scdn.co/image/ab67616d0000b273ac23cf0333827ba2da5f5f0b","1","2","147980","https://p.scdn.co/mp3-preview/f01eb54b67afe70798307ad4ef57e6ddf2539c66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ITB002000420","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0E3wWPnjJm8qlCm3aG3nkm","Astronauti","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","spotify:album:6MIYTO8lsC2Uy8uBeNMhrR","Astronauti","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2017-11-22","https://i.scdn.co/image/ab67616d0000b2739db1649a5304e709cb21179c","1","1","234461","https://p.scdn.co/mp3-preview/808475d0aee65edc7b658d66c28fed180aff9130?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","FRX201769394","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0ylhTWJWFNgj38NeyOmM8Q","Pioggia","spotify:artist:14XRgLXin9R3eKTNXBNwos, spotify:artist:1GDpBWbNymzzLV7BHzaTBL","Leon Faun, Duffy","spotify:album:733meJBDDmLfMUZNZNj8XU","C'era una volta","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","2021-06-25","https://i.scdn.co/image/ab67616d0000b2735a623157f0326443202cfaca","1","1","158684","https://p.scdn.co/mp3-preview/4a232c21e5301f525f03ffa13347881f11ac19c0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","ITUM72200819","spotify:user:","1970-01-01T00:00:00Z"
